schema_version,time_s,step,position_x_m,position_y_m,yaw_rad,yaw_rate_rad_s,vx_m_s,vy_m_s,speed_m_s,steering_angle_rad,throttle,brake,front_slip_angle_rad,rear_slip_angle_rad,front_lateral_force_n,rear_lateral_force_n,longitudinal_accel_m_s2,lateral_accel_m_s2,yaw_accel_rad_s2,body_longitudinal_force_n,body_lateral_force_n,yaw_moment_nm,front_normal_load_n,rear_normal_load_n,drive_force_n,brake_force_n,drag_force_n,rolling_resistance_n,downforce_n,traction_limit_n
2,1.1849999999999967,237,23.583807752773275,1.7118658967227089,0.15875408809187491,0.14326608797404269,19.948014488030758,-0.062011667916991829,19.94811087450746,0.025000000000000001,0,0,0.019131265642323394,0.014239758225125108,2295.7518770788074,1851.1685692662641,-0.039577805926402032,2.8594503870679033,-0.00020726695398620904,-57.387818593282951,4146.2030612484596,-0.51816738496552261,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,1.1899999999999966,238,23.682336464252646,1.7273626681531764,0.15947041594215755,0.14326505238109297,19.947772183210795,-0.062003798214321712,19.947868546395412,0.025000000000000001,0,0,0.0191308647466795,0.014239456283887474,2295.70376960154,1851.1293169053715,-0.039576976573536024,2.8593901492711051,-0.00020697671246466598,-57.386616031627234,4146.1157164431024,-0.51744178116166495,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,1.1949999999999965,239,23.780852847415034,1.742929860185755,0.16018673861794436,0.14326401814445064,19.947529888481348,-0.061995952394866993,19.947626228450591,0.025000000000000001,0,0,0.019130464956538487,0.014239155630537979,2295.6557947846186,1851.0902319699373,-0.039576149507679119,2.8593301184014459,-0.00020672396528152604,-57.385416786134719,4146.0286716820965,-0.51680991320381509,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,1.1999999999999964,240,23.879356852079525,1.7585674624930492,0.16090305612555966,0.14326298508349539,19.947287603813891,-0.061988129579727533,19.947383920641727,0.025000000000000001,0,0,0.019130066239191435,0.014238856207059978,2295.6079487029724,1851.0513069177971,-0.039575324661164715,2.8592702865513324,-0.00020650599821665311,-57.384220758688841,4145.9419154994321,-0.51626499554163274,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,1.2049999999999963,241,23.977848428073184,1.7742754647168735,0.16161936847045796,0.14326195303078929,19.947045329180899,-0.061980328911641132,19.947141622938599,0.025000000000000001,0,0,0.019129668562186793,0.01423855795754198,2295.5602274624152,1851.0125344804574,-0.039574501966858688,2.8592106460232039,-0.00020632025128929855,-57.383027851945094,4145.8554367336455,-0.51580062822324635,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,1.2099999999999962,242,24.076327525231108,1.790053856468069,0.16233567565728796,0.14326092183132405,19.946803064555848,-0.061972549555209977,19.946899335312064,0.025000000000000001,0,0,0.019129271893388918,0.014238260828130636,2295.51262720667,1850.9739076569826,-0.039573681358280405,2.8591511893301598,-0.00020616431145476782,-57.381837969506584,4145.7692245287317,-0.51541077863691953,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,1.2149999999999961,243,24.174794093396461,1.805902627326325,0.16305197768995286,0.14325989134180389,19.94656080991318,-0.061964790697052088,19.946657057734022,0.025000000000000001,0,0,0.019128876201030633,0.014237964766982759,2295.4651441236761,1850.9354197077587,-0.039572862769711545,2.8590919091960023,-0.00020603590558775976,-57.380651016081735,4145.6832683342036,-0.51508976396939943,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,1.219999999999996,244,24.273248082420537,1.8218217668400045,0.16376827457166729,0.14325886142996297,19.946318565228278,-0.061957051545884011,19.946414790177371,0.025000000000000001,0,0,0.019128481453760143,0.014237669724216605,2295.4177744512172,1850.8970641481585,-0.039572046136293053,2.8590327985547566,-0.00020593289373914558,-57.37946689762493,4145.597557904397,-0.51483223434786396,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,1.2249999999999959,245,24.371689442162793,1.8378112645259774,0.16448456630501074,0.14325783197391584,19.94607633047745,-0.061949331332540658,19.946172532616007,0.025000000000000001,0,0,0.019128087620682757,0.014237375651862503,2295.370514481931,1850.8588347421255,-0.039571231394111561,2.8589738505496887,-0.00020585326265627372,-57.378285521461763,4145.5120832970488,-0.51463315664068432,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,1.2299999999999958,246,24.470118122490902,1.8538711098694571,0.16520085289197792,0.14325680286153955,19.945834105637896,-0.061941629309937865,19.945930285024801,0.025000000000000001,0,0,0.019127694671397768,0.014237082503813125,2295.3233605677319,1850.8207254957063,-0.039570418480275586,2.8589150585319043,-0.00020579511956052556,-57.377106796399602,4145.4268348712612,-0.51448779890131391,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
